date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:07	84277/84277	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jun%202023%2006:52:08%20GMT	https://www.otherside-wiki.xyz/otherdeed/plot/55324	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/otherdeed/plot/55324.html	(from )
14:52:07	609/609	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jun%202023%2006:52:09%20GMT	https://www.otherside-wiki.xyz/robots.txt		(from )
14:52:09	197865/197865	---M--	200	added ('OK')	image/png	etag:%22f05840c9252ae27f70c16da13680357a%22	https://i.seadn.io/gcs/files/2accc75c09ab9d905690fa22fc66dbc7.jpg?&w=800&auto=format	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/i.seadn.io/gcs/files/2accc75c09ab9d905690fa22fc66dbc7f7a6.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:10	197865/197865	---M--	200	added ('OK')	image/png	etag:%22f05840c9252ae27f70c16da13680357a%22	https://i.seadn.io/gcs/files/2accc75c09ab9d905690fa22fc66dbc7.jpg?w=800&auto=format	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/i.seadn.io/gcs/files/2accc75c09ab9d905690fa22fc66dbc75b85.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:11	92338/92338	---MCZ	200	added ('OK')	text/css	etag:W/%221ba19-5eaae42e3fcc0%22	https://www.otherside-wiki.xyz/css/fontawesome/css/fontawesome.css	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/css/fontawesome/css/fontawesome.css	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:11	19133/19133	---MCZ	200	added ('OK')	text/css	etag:W/%225c82-5eaae42e3fcc0%22	https://www.otherside-wiki.xyz/css/fontawesome/css/brands.css	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/css/fontawesome/css/brands.css	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:12	567/567	---MCZ	200	added ('OK')	text/css	etag:W/%22271-5eaae42e3fcc0%22	https://www.otherside-wiki.xyz/css/fontawesome/css/solid.css	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/css/fontawesome/css/solid.css	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:14	160302/160302	---MCZ	200	added ('OK')	text/css	etag:W/%222722e-5fa4adecc2d00%22	https://www.otherside-wiki.xyz/css/bootstrap.min.css?id=3341	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/css/bootstrap.min69db.css	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:15	60279/60279	---MCZ	200	added ('OK')	text/css	etag:W/%22eb77-5fd6ee5409c80%22	https://www.otherside-wiki.xyz/css/style.css?id=j523333	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/css/style7ff7.css	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:16	259/259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jun%202023%2006:52:17%20GMT	https://www.otherside-wiki.xyz/iapple-touch-icon.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/iapple-touch-icon.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:17	259/259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jun%202023%2006:52:18%20GMT	http://www.otherside-wiki.xyz/apple-touch-icon.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/apple-touch-icon.9.delayed	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:17	14940/14940	---M--	200	added ('OK')	image/png	etag:%223a5c-5ea88b9e815c0%22	https://www.otherside-wiki.xyz/apple-touch-icon.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/apple-touch-icon.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:18	1663/1663	---M--	200	added ('OK')	image/png	etag:%2267f-5ea88b9f75800%22	https://www.otherside-wiki.xyz/favicon-32x32.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/favicon-32x32.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:19	656/656	---M--	200	added ('OK')	image/png	etag:%22290-5ea88b9f75800%22	https://www.otherside-wiki.xyz/favicon-16x16.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/favicon-16x16.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:19	4169/4169	---M--	200	added ('OK')	image/png	etag:%221049-5e803b2104317%22	https://www.otherside-wiki.xyz/images/logo-white.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/images/logo-white.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:19	33440/33440	---M--	200	added ('OK')	image/png	etag:%2282a0-5f5f2f43bbe00%22	https://www.otherside-wiki.xyz/images/resources/spikeweed/tier1.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/images/resources/spikeweed/tier1.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
14:52:21	112841/112841	---M--	200	added ('OK')	image/png	etag:%221b8c9-5f5ed82bc8340%22	https://www.otherside-wiki.xyz/images/resources/nether/tier3.png	C:/Users/Msi/Desktop/New%20folder%20(2)/newpage/www.otherside-wiki.xyz/images/resources/nether/tier3.png	(from https://www.otherside-wiki.xyz/otherdeed/plot/55324)
